incident_id,date,description,city,state,location,attack_type,ideology,subideology,group,location_type,israel_zionism_related,predicted_category,terms_detected,source,processed_date
68784,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""Patriot Front,"" ""America first,"" ""No Zionists in government, we serve one nation,"" and ""Reject poison.""",Broomfield,CO,"Broomfield, CO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68785,2024-12-30,"A swastika as well as ""n----r"" and ""fag"" were spray-painted onto a street sign.",Montrose,CO,"Montrose, CO",Antisemitic Incident: Vandalism,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
68788,2024-12-30,"A synagogue received a phone call from an individual who asked if they are ""Zionist supporters."" The individual said, ""If they were, she would protest the synagogue.""",Clearwater,FL,"Clearwater, FL",Antisemitic Incident: Harassment,,,,Jewish Institution / School,1.0,Antisemitism,,refined,2025-12-16
68789,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""Deport invaders, keep America American,"" ""Free occupied America,"" and ""No Zionists in government, we serve one nation.""",Hopedale,MA,"Hopedale, MA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68790,2024-12-30,"A Jewish person received harassing comments on X that read: ""Looking forward to gouging your eyes out"" and ""You're disgusting. You'd have to be butchered kosher with that dirty ass soul.""",Marblehead,MA,"Marblehead, MA",Antisemitic Incident: Harassment,,,,Other,,Antisemitism,,refined,2025-12-16
68791,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""For a new American nation state,"" ""No Zionists in government, we serve one nation,"" ""America first"" and ""Defend American labor.""",Spencer,MA,"Spencer, MA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68792,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""For the nation, against the state,"" ""Reclaim America"" and ""Not stolen, conquered.""",Springfield,MO,"Springfield, MO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68793,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""Life, liberty, victory,"" ""American spirit, European blood"" and ""No Zionists in government, we serve one nation.""",Las Vegas,NV,"Las Vegas, NV",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68794,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""Deport invaders, keep America American,"" ""No Zionists in government, we serve one nation,"" ""America first"" and ""For the nation, against the state.""",Lebanon,NH,"Lebanon, NH",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68795,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""We dare to defend our rights,"" ""No Zionists in government, we serve one nation,"" ""Better dead than red"" and ""Not stolen, conquered.""",Lakeland,TN,"Lakeland, TN",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68796,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""Not stolen, conquered,"" ""No Zionists in government, we serve one nation,"" ""Life, liberty, victory"" and ""Deport invaders, keep America American.""",Lewisville,TX,"Lewisville, TX",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68797,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""American by blood,"" ""Better dead than red,"" ""No Zionists in government, we serve one nation"" and ""One nation, against invasion.""",Herndon,VA,"Herndon, VA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68798,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""America first,"" ""Free occupied America,"" ""No Zionists in government, we serve one nation"" and ""For the nation, against the state.""",Leesburg,VA,"Leesburg, VA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68799,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""For the nation, against the state,"" ""Free occupied America"" and ""No Zionists in government, we serve one nation.""",Richmond,VA,"Richmond, VA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68800,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Not stolen, conquered"" and ""Better dead than red.""",Spotsylvania,VA,"Spotsylvania, VA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68801,2024-12-30,"Patriot Front, a white supremacist group, posted stickers that read: ""For the nation, against the state,"" ""Free occupied America,"" ""Strong families, strong nations"" and ""No Zionists in government, we serve one nation.""",Green River,WY,"Green River, WY",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
