incident_id,date,predicted_category_machine,predicted_category_human,state,year,month,year_month,quarter
64400,2024-03-03,Slogans / Code words,Antisemitism,California,2024,3,2024-03,1
69292,2024-03-04,Slogans / Code words,Antisemitism,Utah,2024,3,2024-03,1
64053,2024-03-04,People,Antisemitism,Colorado,2024,3,2024-03,1
64401,2024-03-04,Incidents / Events,Antisemitism,New York,2024,3,2024-03,1
69293,2024-03-01,Numbers / Symbols,Antisemitism,New Jersey,2024,3,2024-03,1
65552,2024-03-05,Incidents / Events,Antisemitism,New York,2024,3,2024-03,1
64402,2024-03-04,People,Antisemitism,Maryland,2024,3,2024-03,1
64403,2024-03-03,Slogans / Code words,Antisemitism,Maryland,2024,3,2024-03,1
64404,2024-03-02,Slogans / Code words,Antisemitism,Florida,2024,3,2024-03,1
65100,2024-03-05,Slogans / Code words,Antisemitism,Massachusetts,2024,3,2024-03,1
64405,2024-03-05,Slogans / Code words,Antisemitism,New York,2024,3,2024-03,1
69294,2024-03-05,People,Antisemitism,California,2024,3,2024-03,1
64406,2024-03-03,Incidents / Events,Antisemitism,California,2024,3,2024-03,1
69295,2024-03-01,Slogans / Code words,Antisemitism,Kentucky,2024,3,2024-03,1
64407,2024-02-15,Slogans / Code words,Antisemitism,California,2024,2,2024-02,1
63858,2024-01-31,Numbers / Symbols,Antisemitism,California,2024,1,2024-01,1
64408,2024-03-04,Slogans / Code words,Antisemitism,California,2024,3,2024-03,1
65553,2024-03-05,People,Antisemitism,Minnesota,2024,3,2024-03,1
69296,2024-03-04,Key Concepts / Definitions,Antisemitism,New York,2024,3,2024-03,1
64409,2024-03-04,Groups / Movements,Antisemitism,California,2024,3,2024-03,1
64410,2024-03-06,Slogans / Code words,Antisemitism,Louisiana,2024,3,2024-03,1
64411,2024-03-06,Numbers / Symbols,Antisemitism,New York,2024,3,2024-03,1
64412,2024-03-06,Slogans / Code words,Antisemitism,Texas,2024,3,2024-03,1
64413,2024-02-15,Publications,Antisemitism,California,2024,2,2024-02,1
64414,2024-03-06,Slogans / Code words,Antisemitism,Washington D.C.,2024,3,2024-03,1
64415,2024-03-04,Numbers / Symbols,Antisemitism,New York,2024,3,2024-03,1
64416,2024-03-07,People,Antisemitism,Colorado,2024,3,2024-03,1
64417,2024-03-05,Numbers / Symbols,Antisemitism,Nevada,2024,3,2024-03,1
63856,2024-01-07,"Slogans / Code words, Conspiracy Theories",Antisemitism,Pennsylvania,2024,1,2024-01,1
64418,2024-03-01,Numbers / Symbols,Antisemitism,New York,2024,3,2024-03,1
64419,2024-03-06,Incidents / Events,Antisemitism,Michigan,2024,3,2024-03,1
64420,2024-03-02,Slogans / Code words,Antisemitism,Illinois,2024,3,2024-03,1
64826,2024-03-07,Key Concepts / Definitions,Antisemitism,Florida,2024,3,2024-03,1
69297,2024-03-07,Groups / Movements,Antisemitism,California,2024,3,2024-03,1
65554,2024-03-06,Numbers / Symbols,Antisemitism,California,2024,3,2024-03,1
64421,2024-03-06,Key Concepts / Definitions,Antisemitism,Pennsylvania,2024,3,2024-03,1
64422,2024-03-04,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,Maine,2024,3,2024-03,1
69298,2024-03-10,Slogans / Code words,Antisemitism,New York,2024,3,2024-03,1
69299,2024-03-10,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,Washington,2024,3,2024-03,1
64672,2024-03-10,Slogans / Code words,Antisemitism,New Jersey,2024,3,2024-03,1
69300,2024-03-01,Groups / Movements,Antisemitism,New Jersey,2024,3,2024-03,1
64423,2024-03-07,People,Antisemitism,New Jersey,2024,3,2024-03,1
65555,2024-03-08,Slogans / Code words,Antisemitism,Oregon,2024,3,2024-03,1
66706,2024-02-26,Incidents / Events,Antisemitism,Oregon,2024,2,2024-02,1
69301,2024-03-01,Slogans / Code words,Antisemitism,California,2024,3,2024-03,1
69302,2024-03-11,Incidents / Events,Antisemitism,Massachusetts,2024,3,2024-03,1
65556,2024-03-09,Numbers / Symbols,Antisemitism,Colorado,2024,3,2024-03,1
64671,2024-03-09,Incidents / Events,Antisemitism,Nevada,2024,3,2024-03,1
64763,2024-03-11,"Slogans / Code words, Conspiracy Theories",Antisemitism,Pennsylvania,2024,3,2024-03,1
64425,2024-03-11,People,Antisemitism,Minnesota,2024,3,2024-03,1
69303,2024-03-07,Slogans / Code words,Antisemitism,Maryland,2024,3,2024-03,1
69304,2024-03-09,Numbers / Symbols,Antisemitism,Kansas,2024,3,2024-03,1
64751,2024-03-11,Key Concepts / Definitions,Antisemitism,North Carolina,2024,3,2024-03,1
64426,2024-03-11,Conspiracy Theories,Antisemitism,California,2024,3,2024-03,1
64690,2024-03-11,Slogans / Code words,Antisemitism,New York,2024,3,2024-03,1
64802,2024-03-11,Slogans / Code words,Antisemitism,Virginia,2024,3,2024-03,1
64427,2024-03-05,Groups / Movements,Antisemitism,California,2024,3,2024-03,1
64062,2024-03-12,Slogans / Code words,Antisemitism,Washington D.C.,2024,3,2024-03,1
64428,2024-03-08,Numbers / Symbols,Antisemitism,New Jersey,2024,3,2024-03,1
69305,2024-03-12,Slogans / Code words,Antisemitism,Colorado,2024,3,2024-03,1
64429,2024-03-01,Numbers / Symbols,Antisemitism,New York,2024,3,2024-03,1
69306,2024-03-08,Slogans / Code words,Antisemitism,Connecticut,2024,3,2024-03,1
64634,2024-03-12,Numbers / Symbols,Antisemitism,Maryland,2024,3,2024-03,1
69307,2024-03-05,Slogans / Code words,Antisemitism,New Jersey,2024,3,2024-03,1
64430,2024-03-05,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,South Carolina,2024,3,2024-03,1
69308,2024-03-12,Slogans / Code words,Antisemitism,Massachusetts,2024,3,2024-03,1
64431,2024-03-12,Slogans / Code words,Antisemitism,Maryland,2024,3,2024-03,1
64015,2024-02-23,Publications,Antisemitism,New Jersey,2024,2,2024-02,1
64590,2024-03-13,Numbers / Symbols,Antisemitism,Florida,2024,3,2024-03,1
64433,2024-03-02,Incidents / Events,Antisemitism,New Jersey,2024,3,2024-03,1
64434,2024-02-20,Groups / Movements,Antisemitism,New Jersey,2024,2,2024-02,1
64104,2024-03-12,Slogans / Code words,Antisemitism,California,2024,3,2024-03,1
64435,2024-03-05,Key Concepts / Definitions,Antisemitism,California,2024,3,2024-03,1
64436,2024-03-06,Incidents / Events,Antisemitism,California,2024,3,2024-03,1
58597,2023-12-31,Groups / Movements,Antisemitism,Massachusetts,2023,12,2023-12,4
64437,2024-03-05,Key Concepts / Definitions,Antisemitism,California,2024,3,2024-03,1
64523,2024-03-13,Slogans / Code words,Antisemitism,California,2024,3,2024-03,1
64438,2024-03-09,Groups / Movements,Antisemitism,Michigan,2024,3,2024-03,1
69309,2024-03-07,Key Concepts / Definitions,Antisemitism,Colorado,2024,3,2024-03,1
64439,2024-03-07,Slogans / Code words,Antisemitism,Maryland,2024,3,2024-03,1
69310,2024-03-13,People,Antisemitism,Michigan,2024,3,2024-03,1
64440,2024-03-04,Numbers / Symbols,Antisemitism,California,2024,3,2024-03,1
64077,2024-03-13,Numbers / Symbols,Antisemitism,Colorado,2024,3,2024-03,1
64441,2024-03-01,Groups / Movements,Antisemitism,Washington,2024,3,2024-03,1
64623,2024-03-13,Incidents / Events,Antisemitism,Maine,2024,3,2024-03,1
64442,2024-02-14,Key Concepts / Definitions,Antisemitism,New Jersey,2024,2,2024-02,1
64443,2024-03-05,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,New Jersey,2024,3,2024-03,1
65557,2024-03-13,Slogans / Code words,Antisemitism,Pennsylvania,2024,3,2024-03,1
64444,2024-02-15,Key Concepts / Definitions,Antisemitism,New Jersey,2024,2,2024-02,1
64445,2024-02-12,Incidents / Events,Antisemitism,New Jersey,2024,2,2024-02,1
64447,2024-03-01,Slogans / Code words,Antisemitism,Washington,2024,3,2024-03,1
64448,2024-02-28,Numbers / Symbols,Antisemitism,California,2024,2,2024-02,1
64642,2024-03-12,Slogans / Code words,Antisemitism,Massachusetts,2024,3,2024-03,1
65558,2024-03-13,Incidents / Events,Antisemitism,Washington,2024,3,2024-03,1
62068,2023-12-31,Incidents / Events,Antisemitism,Maryland,2023,12,2023-12,4
62390,2023-12-31,Numbers / Symbols,Antisemitism,Illinois,2023,12,2023-12,4
64563,2024-03-13,Key Concepts / Definitions,Antisemitism,Colorado,2024,3,2024-03,1
64449,2024-03-14,Numbers / Symbols,Antisemitism,California,2024,3,2024-03,1
64028,2024-03-15,Slogans / Code words,Antisemitism,Virginia,2024,3,2024-03,1
69312,2024-03-07,Numbers / Symbols,Antisemitism,California,2024,3,2024-03,1
64707,2024-03-14,Groups / Movements,Antisemitism,New York,2024,3,2024-03,1
64790,2024-03-15,Groups / Movements,Antisemitism,Vermont,2024,3,2024-03,1
66727,2024-03-14,Numbers / Symbols,Antisemitism,Georgia,2024,3,2024-03,1
64024,2024-03-15,Slogans / Code words,Antisemitism,Illinois,2024,3,2024-03,1
64616,2024-03-15,Numbers / Symbols,Antisemitism,Indiana,2024,3,2024-03,1
64643,2024-03-14,"Slogans / Code words, Conspiracy Theories",Antisemitism,Massachusetts,2024,3,2024-03,1
64205,2024-03-14,Slogans / Code words,Antisemitism,Massachusetts,2024,3,2024-03,1
64625,2024-03-16,Slogans / Code words,Antisemitism,Maryland,2024,3,2024-03,1
64688,2024-03-17,Slogans / Code words,Antisemitism,New York,2024,3,2024-03,1
64641,2024-03-16,Incidents / Events,Antisemitism,Massachusetts,2024,3,2024-03,1
64524,2024-03-16,Groups / Movements,Antisemitism,California,2024,3,2024-03,1
65559,2024-03-17,Slogans / Code words,Antisemitism,New York,2024,3,2024-03,1
64687,2024-03-16,Numbers / Symbols,Antisemitism,New York,2024,3,2024-03,1
64689,2024-03-18,Numbers / Symbols,Antisemitism,New York,2024,3,2024-03,1
65113,2024-03-13,Slogans / Code words,Antisemitism,Massachusetts,2024,3,2024-03,1
63905,2024-01-08,Groups / Movements,Antisemitism,Wyoming,2024,1,2024-01,1
64651,2024-03-17,Incidents / Events,Antisemitism,Massachusetts,2024,3,2024-03,1
