incident_id,confidence,is_correct,confidence_bin
55035,0.6211982650756835,0,50-60%
54433,0.6057367010116577,0,50-60%
55033,0.6986280961036682,0,60-70%
63717,0.545029723962148,0,40-50%
54432,0.5288937651316324,0,40-50%
55032,0.6677552742958068,0,60-70%
63538,0.5981919132868448,0,50-60%
63924,0.554411614259084,0,40-50%
63587,0.554411614259084,0,40-50%
63725,0.554411614259084,0,40-50%
63641,0.5476458314259847,0,40-50%
63680,0.6974559707641601,0,60-70%
63449,0.554411614259084,0,40-50%
63704,0.554411614259084,0,40-50%
63610,0.554411614259084,0,40-50%
63893,0.6974559707641601,0,60-70%
63847,0.5409974419275919,0,40-50%
63442,0.6073684337933858,0,50-60%
63743,0.6064608338673909,0,50-60%
63485,0.5796704573631286,0,50-60%
63727,0.554411614259084,0,40-50%
63591,0.6550775133768717,0,60-70%
63919,0.5544114950497945,0,40-50%
63584,0.6633868498802185,0,60-70%
63798,0.5544114950497945,0,40-50%
63568,0.5544114950497945,0,40-50%
63553,0.6615975184440612,0,60-70%
63645,0.6633868498802185,0,60-70%
63886,0.5544114950497945,0,40-50%
63612,0.554411614259084,0,40-50%
63906,0.554411614259084,0,40-50%
63601,0.554411614259084,0,40-50%
63496,0.6615975184440612,0,60-70%
63770,0.554411614259084,0,40-50%
63448,0.6615975184440612,0,60-70%
63833,0.5544114950497945,0,40-50%
55026,0.6986280961036682,0,60-70%
63750,0.5544114950497945,0,40-50%
54426,0.4298775437672933,0,20-30%
63684,0.5544114950497945,0,40-50%
63912,0.6420086585680643,0,60-70%
63487,0.5468359235127767,0,40-50%
55018,0.6677552742958068,0,60-70%
63552,0.4508320930798848,0,30-40%
63923,0.6545445008277893,0,60-70%
63444,0.6323329491615295,0,50-60%
63497,0.6615975184440612,0,60-70%
63845,0.5544114950497945,0,40-50%
63920,0.6106038374900817,0,50-60%
63609,0.5544114950497945,0,40-50%
63841,0.5544114950497945,0,40-50%
63848,0.554411614259084,0,40-50%
63901,0.5544114950497945,0,40-50%
68924,0.4665217939217885,0,30-40%
63780,0.5251828991572062,0,40-50%
63686,0.4587646666367849,0,30-40%
63892,0.6738510095278422,0,60-70%
63816,0.5544114950497945,0,40-50%
63726,0.5544114950497945,0,40-50%
63896,0.554411614259084,0,40-50%
63670,0.660712031841278,0,60-70%
63859,0.554411614259084,0,40-50%
63900,0.554411614259084,0,40-50%
63818,0.660712031841278,0,60-70%
63486,0.554411614259084,0,40-50%
63626,0.554411614259084,0,40-50%
63476,0.6643569750785827,0,60-70%
63757,0.5544114950497945,0,40-50%
63521,0.5544114950497945,0,40-50%
63768,0.5544114950497945,0,40-50%
63834,0.5544114950497945,0,40-50%
63616,0.554411614259084,0,40-50%
63555,0.6633868498802185,0,60-70%
63599,0.660712031841278,0,60-70%
63543,0.5544114950497945,0,40-50%
63520,0.660712031841278,0,60-70%
63471,0.5544114950497945,0,40-50%
63453,0.5544114950497945,0,40-50%
63783,0.5544114950497945,0,40-50%
63617,0.5544114950497945,0,40-50%
63625,0.5544114950497945,0,40-50%
63562,0.5544114950497945,0,40-50%
63744,0.5544114950497945,0,40-50%
63679,0.5544114950497945,0,40-50%
63460,0.6643569750785827,0,60-70%
63730,0.5544114950497945,0,40-50%
63529,0.660712031841278,0,60-70%
63731,0.5544114950497945,0,40-50%
63648,0.5544114950497945,0,40-50%
63510,0.6643569750785827,0,60-70%
63582,0.5544114950497945,0,40-50%
63819,0.5544114950497945,0,40-50%
63855,0.5544114950497945,0,40-50%
63463,0.5544114950497945,0,40-50%
63490,0.5544114950497945,0,40-50%
63836,0.5544114950497945,0,40-50%
63878,0.5544114950497945,0,40-50%
63638,0.5544114950497945,0,40-50%
63653,0.554411614259084,0,40-50%
63918,0.4980423115889231,0,30-40%
63917,0.5296826604207356,0,40-50%
63869,0.5760989152590433,0,50-60%
63738,0.5544114950497945,0,40-50%
63657,0.5544114950497945,0,40-50%
63662,0.6295327507654825,0,50-60%
63512,0.5563241206804911,0,40-50%
63559,0.660712031841278,0,60-70%
63771,0.554411614259084,0,40-50%
63567,0.5544114950497945,0,40-50%
63509,0.5544114950497945,0,40-50%
63481,0.6633868498802185,0,60-70%
63699,0.554411614259084,0,40-50%
63663,0.554411614259084,0,40-50%
63740,0.5544114950497945,0,40-50%
63573,0.5544114950497945,0,40-50%
63556,0.5544114950497945,0,40-50%
63646,0.5544114950497945,0,40-50%
63647,0.554411614259084,0,40-50%
