incident_id,incident_text,top_match_term,top_match_category,top_match_score,second_match_term,second_match_score,third_match_term,third_match_score
61962,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
62016,"An individual received a letter that read: ""Merry Christmas Kikes! The Goyim have figured you out. Sleep tight!""",Da Goyim Know,Slogans / Code words,0.5656003355979919,Goyim Defense League,0.4774017333984375,KABARK (symbol),0.4533936679363251
62036,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
62092,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
62114,"Antisemitic fliers reading: ""On Jewish Influence"" were posted in a public area.",American Free Press,Platforms / Sites,0.5454179048538208,Da Goyim Know,0.5319472551345825,"The ""Antifa Manual""",0.5249019861221313
62140,Swastika graffiti was located in a subway station.,Swastika,Numbers / Symbols,0.5581992268562317,Hakenkreuz Skinheads,0.510961651802063,Burning Neo-Nazi Symbols,0.5035617351531982
62174,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6316280961036682,Colleyville Synagogue Attack,0.6039206385612488,Operation Kristallnacht,0.5955498218536377
62320,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
62355,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
62359,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
55058,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
55070,A local official was harassed with antisemitic messages online.,Antisemitism,Key Concepts / Definitions,0.4860271215438843,Stop Zionist Hate,0.4774414300918579,Jon Minadeo II,0.47539934515953064
58466,A Jewish hospital was targeted with an antisemitic bomb threat.,Operation Kristallnacht,Incidents / Events,0.5361000299453735,Jersey City Kosher Market Shooting,0.524243175983429,Colleyville Synagogue Attack,0.5120438933372498
58467,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
58468,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
58469,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6335191130638123,Colleyville Synagogue Attack,0.6035584211349487,Operation Kristallnacht,0.5988920331001282
58470,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
58497,"The Wyoming Active Club, a white supremacist group distributed propaganda that read: ""White Power, "" ""No More Wars for Israel, "" ""End Jewish Terror, "" ""End Zionism in Palestine and America, "" ""Rocky M",White Aryan Resistance (WAR),Groups / Movements,0.5406259298324585,White supremacist (physical) propaganda,0.5359805226325989,White Power,0.5229281187057495
58498,"Patriot Front, a white supremacist group, posted stickers that read: ""Life, liberty, victory, "" ""Better dead than red"" and ""No Zionists in government, we serve one nation.""",Patriot Front,Groups / Movements,0.6349759697914124,Florida Nationalists,0.575977623462677,Vanguard America,0.5689892768859863
58499,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation, "" ""Life of our nation, liberty of our people, victory of the American spirit, "" ""L",Patriot Front,Groups / Movements,0.6518397331237793,Zionazi,0.5845302939414978,Open borders for Israel,0.5707635879516602
58500,"Patriot Front, a white supremacist group, posted stickers that read: ""Reclaim America, "" ""No Zionists in government. We serve one nation"" and ""Life, liberty, victory.""",Patriot Front,Groups / Movements,0.6189790964126587,Zionazi,0.5799905061721802,Open borders for Israel,0.5756879448890686
54446,"""Kill the Jews"" was written on the entrance of a subway station.",Operation Kristallnacht,Incidents / Events,0.5479890704154968,Da Goyim Know,0.5403095483779907,Jew coup,0.5155641436576843
59242,"At an anti-Israel rally, protesters held signs with messages such as: ""Resistance against occupation is a human right.""",People's Rights,Groups / Movements,0.5452989935874939,Inverted Red Triangle,0.4796832501888275,Al-Awda: The Palestine Right to Return Coalition,0.4500560164451599
59476,"""Glory to the Martyrs"" was written on a statue at Union Square Park.",Robert J. Mathews,People,0.42873165011405945,"Saviours"" Day",0.41476115584373474,Lavoy Finicum,0.4092184901237488
59716,"At an anti-Israel rally, protesters held signs with messages such as: ""By any means necessary,"" ""Victory to the Palestinian resistance,"" ""Zionism is genocide, ""Zionism is terrorism and ""Long live the ",Zionazi,Slogans / Code words,0.6352821588516235,Inverted Red Triangle,0.5619109869003296,Stop Zionist Hate,0.5336853861808777
60104,"At an anti-Israel rally, protesters held signs with messages such as: ""To stand with Israel is like supporting Hitler.""",Zionazi,Slogans / Code words,0.5724735260009766,Inverted Red Triangle,0.517231285572052,Stop Zionist Hate,0.5083444118499756
60274,"At an anti-Israel rally, a speaker stated, ""I m gonna keep coming out...until Palestine is free. And I mean every single inch of it, from the river to the sea. Because that s not just a slogan...it s ",Open borders for Israel,Slogans / Code words,0.5524299144744873,Henry Herskovitz,0.5169569253921509,Zionazi,0.4799388647079468
60315,"At an anti-Israel rally, protesters held signs with messages such as: ""Long live the intifada.""",Inverted Red Triangle,Numbers / Symbols,0.5023680925369263,Zionazi,0.4943578541278839,Sieg Heil symbol,0.47791990637779236
60914,"A student said, ""I love Hitler"" and ""Hitler is good"" to a classmate.",Hitler salute,Numbers / Symbols,0.4416657090187073,Muh Holocaust,0.434732586145401,Fred Leuchter,0.4270966351032257
60937,"An individual yelled, ""Hey Jew,"" at a Jewish individual walking their dog.",Jew-ish,Slogans / Code words,0.5103614926338196,Zionazi,0.44749149680137634,Brother Nathanael,0.42510759830474854
61030,"A business received an email that read: ""FuckTheJews,"" ""FreePalestine"" and that Fairfax County ""will get blown up for supporting leftists and other faggots.""",Florida Nationalists,Groups / Movements,0.47017237544059753,American Free Press,0.45613524317741394,Civnatfags,0.4471410810947418
58461,"Individuals associated with the antisemitic Goyim Defense League distributed antisemitic and anti-LGBTQ propaganda in a residential area. The propaganda read: ""Every single aspect of mass immigration ",Da Goyim Know,Slogans / Code words,0.6141805648803711,Goyim Defense League,0.5792210102081299,American Free Press,0.5580287575721741
54445,"""Jew"" was written on a bus stop advertisement.",Jew-ish,Slogans / Code words,0.6453837156295776,Da Goyim Know,0.5467356443405151,Zionazi,0.5330731868743896
59116,"At an anti-Israel rally, protesters held signs with messages such as: ""Stop the media lies against Palestinian resistance.""",Stop Zionist Hate,Groups / Movements,0.5098722577095032,Zionazi,0.47449007630348206,Inverted Red Triangle,0.472275972366333
59220,"At an anti-Israel rally, protesters held signs with messages such as: ""Resistance against occupation is a human right.""",People's Rights,Groups / Movements,0.5452989935874939,Inverted Red Triangle,0.4796832501888275,Al-Awda: The Palestine Right to Return Coalition,0.4500560164451599
59257,"At an anti-Israel rally, protesters held signs with messages such as: ""From the river to the sea"" and ""By any means necessary.""",Inverted Red Triangle,Numbers / Symbols,0.5296250581741333,Zionazi,0.4913652539253235,Open borders for Israel,0.48952874541282654
59405,"At an anti-Israel rally, protesters held signs with messages such as: ""From the river to the sea.""",Inverted Red Triangle,Numbers / Symbols,0.5151827931404114,Open borders for Israel,0.48197197914123535,Zionazi,0.47238802909851074
59518,"At an anti-Israel rally, protesters held signs with messages such as: ""Intifada until victory"" and ""From the river to the sea, Palestine will be free.""",Inverted Red Triangle,Numbers / Symbols,0.5201558470726013,Zionazi,0.5176034569740295,Open borders for Israel,0.5171000361442566
59585,"At an anti-Israel rally, protesters held signs with messages such as: ""Globalize the intifada.""",Inverted Red Triangle,Numbers / Symbols,0.518439769744873,Zionazi,0.512755274772644,Dancing Israelis,0.4820544123649597
60424,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of 45 synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6328182220458984,Colleyville Synagogue Attack,0.6034659743309021,Pittsburgh synagogue shooting,0.5974656939506531
60429,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007552742958069,Operation Kristallnacht,0.5907955169677734,Colleyville Synagogue Attack,0.5790477395057678
60581,A synagogue was targeted with an antisemitic bomb threat.,Jersey City Kosher Market Shooting,Incidents / Events,0.6007551550865173,Operation Kristallnacht,0.5907952785491943,Colleyville Synagogue Attack,0.5790475606918335
60588,A group of individuals kicked over an outdoor menorah.,Dancing Israelis,Conspiracy Theories,0.3257698118686676,Solid Wood Soldiers,0.32557445764541626,Silent Aryan Warriors,0.30407360196113586
60669,Antisemitic fliers were distributed in a residential area.,Da Goyim Know,Slogans / Code words,0.49227961897850037,House of Israel (HOI),0.48564574122428894,Goyim Defense League,0.47960415482521057
60744,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of 45 synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6328182220458984,Colleyville Synagogue Attack,0.6034659743309021,Pittsburgh synagogue shooting,0.5974656939506531
60856,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of 45 synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6328182220458984,Colleyville Synagogue Attack,0.6034659743309021,Pittsburgh synagogue shooting,0.5974656939506531
61011,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of seven synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6338528990745544,Colleyville Synagogue Attack,0.6046554446220398,Pittsburgh synagogue shooting,0.5967409610748291
61106,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of nine synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6311113834381104,Colleyville Synagogue Attack,0.6009668707847595,Pittsburgh synagogue shooting,0.5978118181228638
61127,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of 26 synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6284710764884949,Colleyville Synagogue Attack,0.6024563312530518,Pittsburgh synagogue shooting,0.594241738319397
61235,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of 45 synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6328182220458984,Colleyville Synagogue Attack,0.6034659743309021,Pittsburgh synagogue shooting,0.5974656939506531
61244,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of 26 synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6284710764884949,Colleyville Synagogue Attack,0.6024563312530518,Pittsburgh synagogue shooting,0.594241738319397
61277,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of nine synagogues targeted in a day).,Jersey City Kosher Market Shooting,Incidents / Events,0.6311113834381104,Colleyville Synagogue Attack,0.6009668707847595,Pittsburgh synagogue shooting,0.5978118181228638
